UCH_LEVEL_G,FSCL_WK_END_DT,KHC_FSCL_YR_WK_VAL,LAST_52WK_FSCL_WK_BGN_DT_FSCL_YR_WK_VAL,LAST_52WK_FSCL_WK_BGN_DT,BASECODE,TY_AVG_STORE_WEIGHT_IN_DIV,TY_SELLING_STR_CNT_IN_DIV,TY_STORE_COUNT_IN_DIV,TY_DIV_TDP,TY_DIV_SALES_DOLLARS,TY_DIV_SALES_UNITS,TY_DIV_AVG_UNIT_PRICE,TY_L52WK_DIV_SALES_DOLLARS_TOTAL,TY_L52WK_DIV_SALES_UNITS_TOTAL,TY_L52WK_DIV_AVG_UNIT_PRICE,LY_1_AVG_STORE_WEIGHT_IN_DIV,LY_1_SELLING_STR_CNT_IN_DIV,LY_1_STORE_COUNT_IN_DIV,LY_1_DIV_TDP,LY_1_DIV_SALES_DOLLARS,LY_1_DIV_SALES_UNITS,LY_1_DIV_AVG_UNIT_PRICE,LY_1_L52WK_DIV_SALES_DOLLARS_TOTAL,LY_1_L52WK_DIV_SALES_UNITS_TOTAL,LY_1_L52WK_DIV_AVG_UNIT_PRICE,TY_R13WK_AVG_DIV_TDP,LY_1_R13WK_AVG_DIV_TDP,TY_R52WK_AVG_DIV_TDP,LY_1_R52WK_AVG_DIV_TDP,TY_R13WK_MAX_DIV_UNIT_PRICE,LY_1_R13WK_MAX_DIV_UNIT_PRICE,TY_R52WK_MAX_DIV_UNIT_PRICE,LY_1_R52WK_MAX_DIV_UNIT_PRICE
CA4000431,2018-07-14,201828,201729,2017-07-16,000000681000011800,0.000733137829912035,534,1364,0.541863099612948,4224.179999999999989,1192.000000000000000,3.543775167785235,161340.049999999999851,46360.000000000000000,3.480156384814495,0.000733137829912024,463,1364,0.497866314070089,3133.680000000000000,911.000000000000000,3.439824368825467,88550.289999999999994,26205.000000000000000,3.379137187559626,0.477325476631065923,0.502959804736081615,0.433616760190869096,0.474909186295542153,4.497287581699346,3.692653465346535,4.497287581699346,3.828005427408412
CA4000431,2018-07-21,201829,201730,2017-07-23,000000681000011800,0.000733137829912026,371,1364,0.395688414259809,3096.400000000000000,726.000000000000000,4.265013774104683,161302.769999999999851,46175.000000000000000,3.493292257715214,0.000733137829912020,499,1364,0.523239474778666,3750.380000000000003,1137.000000000000000,3.298487247141601,92300.669999999999997,27342.000000000000000,3.375783410138249,0.469204400823543846,0.506986202839429923,0.431651800579132942,0.476699196980102296,4.497287581699346,3.692653465346535,4.497287581699346,3.828005427408412
CA4000431,2018-07-28,201830,201731,2017-07-30,000000681000011800,0.000733137829912016,647,1364,0.642920265472279,5711.389999999999978,2254.000000000000000,2.533890860692103,163263.779999999999826,47292.000000000000000,3.452249429078914,0.000733137829912029,492,1364,0.514434584369425,3647.500000000000022,1057.000000000000000,3.450804162724693,95948.170000000000019,28399.000000000000000,3.378575654072326,0.488242542891139615,0.507431536703912615,0.433953354246317807,0.478046889386863821,4.497287581699346,3.692653465346535,4.497287581699346,3.828005427408412
CA4000431,2018-08-04,201831,201732,2017-08-06,000000681000011800,0.000733137829912021,348,1364,0.358071756157657,2679.830000000000000,635.000000000000000,4.220204724409449,162296.109999999999804,46870.000000000000000,3.462686366545765,0.000733137829912015,462,1364,0.485517793207201,3250.699999999999999,955.000000000000000,3.403874345549738,99198.870000000000018,29354.000000000000000,3.379398719084282,0.465044147980476153,0.509334917053701230,0.430946376780706884,0.478304506759978896,4.497287581699346,3.692653465346535,4.497287581699346,3.828005427408412
CA4000431,2018-08-11,201832,201733,2017-08-13,000000681000011800,0.000733137829912021,595,1364,0.590465472800921,4797.609999999999990,1885.000000000000000,2.545151193633952,163843.019999999999795,47800.000000000000000,3.427678242677824,0.000733137829912024,436,1364,0.456967881222683,3145.710000000000002,938.000000000000000,3.353635394456290,102344.580000000000020,30292.000000000000000,3.378600950746072,0.481198411805960153,0.506719902170973769,0.432964601388278423,0.477593285908735700,4.497287581699346,3.692653465346535,4.497287581699346,3.828005427408412
CA4000431,2018-08-18,201833,201734,2017-08-20,000000681000011800,0.000733137829912013,338,1364,0.359925184165587,2449.629999999999997,585.000000000000000,4.187401709401709,163146.939999999999790,47447.000000000000000,3.438509073281767,0.000733137829912036,437,1364,0.455882955765486,2987.290000000000001,896.000000000000000,3.334029017857143,105331.870000000000021,31188.000000000000000,3.377320443760421,0.468615882765716692,0.505189265810542846,0.431098395675641961,0.476892952678308290,4.497287581699346,3.692653465346535,4.497287581699346,3.828005427408412
CA4000431,2018-08-25,201834,201735,2017-08-27,000000681000011800,0.000733137829912025,608,1364,0.615910052127699,4978.110000000000000,1944.000000000000000,2.560756172839506,165137.759999999999789,48495.000000000000000,3.405253325085060,0.000733137829912021,449,1364,0.461480291154202,2995.419999999999998,912.000000000000000,3.284451754385965,108327.290000000000019,32100.000000000000000,3.374681931464174,0.486737933101325615,0.499585341236475384,0.434175839836453750,0.476411307005679968,4.497287581699346,3.692653465346535,4.497287581699346,3.828005427408412
CA4000431,2018-09-01,201835,201736,2017-09-03,000000681000011800,0.000733137829912025,249,1364,0.260469895043561,1691.089999999999998,396.000000000000000,4.270429292929293,163833.429999999999789,47979.000000000000000,3.414690385376936,0.000733137829912019,465,1364,0.480610394898584,3087.209999999999997,944.000000000000000,3.270349576271186,111414.500000000000016,33044.000000000000000,3.371701367873139,0.465776264911658769,0.496700287606315076,0.430310255295864500,0.476538552093343727,4.497287581699346,3.692653465346535,4.497287581699346,3.828005427408412
CA4000431,2018-09-08,201836,201737,2017-09-10,000000681000011800,0.000733137829912010,577,1364,0.589648421552511,4501.879999999999980,1764.000000000000000,2.552086167800454,165248.099999999999772,48799.000000000000000,3.386300948789934,0.000733137829912016,400,1364,0.420134943185664,2724.359999999999996,766.000000000000000,3.556605744125326,114138.860000000000012,33810.000000000000000,3.375890564921621,0.482712603164558769,0.485341324824907923,0.432407140423824634,0.474879622419588441,4.424829931972789,3.692653465346535,4.497287581699346,3.828005427408412
CA4000431,2018-09-15,201837,201738,2017-09-17,000000681000011800,0.000733137829912023,273,1364,0.291658790531478,1922.019999999999993,438.000000000000000,4.388173515981735,164445.759999999999769,48471.000000000000000,3.392662829320625,0.000733137829912026,417,1364,0.426696176611193,3012.600000000000000,903.000000000000000,3.336212624584718,117151.460000000000012,34713.000000000000000,3.374858410393801,0.467037786842142461,0.480184527586105230,0.429936445180474903,0.473502952539348571,4.424829931972789,3.692653465346535,4.497287581699346,3.828005427408412
